,ABBA,Billie Eilish,Ed Sheeran,JAY-Z,Macklemore,Rage Against the Machine,Taylor Swift,The Beatles,The Wolfe Tones
autumn,0.004978379272957432,0.0,0.005556453180384256,0.0,0.0,0.0016811691421456097,0.006967658170387423,0.0,0.0
winds,0.002489189636478716,0.0,0.0,0.0012551844399099684,0.0,0.0,0.0023225527234624743,0.0,0.011579027613843688
blowin,0.002489189636478716,0.0,0.003704302120256171,0.0025103688798199368,0.0016839329129654562,0.0,0.0,0.0,0.0
outside,0.005880621992130676,0.0096020292266615,0.009845192274212097,0.004447992900988783,0.007956463240997434,0.010922181353121282,0.0027434741056526183,0.001637512819840318,0.006838760237024614
window,0.0053946336505433685,0.009395728102497265,0.0,0.004533778194279845,0.02554622884929824,0.0036434715513694376,0.0016778313302632595,0.006008739737346097,0.0
around,0.01617171047835936,0.0288060876799845,0.022972115306494893,0.011119982252471957,0.036798642489613134,0.026808990594024962,0.03292168926783142,0.0180126410182435,0.022225970770329995
room,0.008820932988196015,0.0038408116906645997,0.022972115306494893,0.0029653286006591888,0.009945579051246793,0.00893633019800832,0.0150891075810894,0.013100102558722545,0.01025814035553692
depressed,0.002221148597348208,0.0029013983591580266,0.0016527076398647337,0.0,0.003005207134762781,0.0,0.00414491097695846,0.0,0.0
gloom,0.01150883848121965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prayer,0.007467568909436148,0.0,0.0,0.0,0.0,0.0016811691421456097,0.023225527234624743,0.0,0.011579027613843688
gim,0.07467568909436148,0.0,0.0,0.018827766598649525,0.006735731651861825,0.0033623382842912193,0.0,0.0,0.0
midnight,0.024432634570830288,0.0029013983591580266,0.0,0.0,0.006010414269525562,0.0,0.01036227744239615,0.0,0.0025830435502221917
somebody,0.014625466554623217,0.01273644477281289,0.013300817210967649,0.013930467892258049,0.013192140466322196,0.0032926221852530276,0.009097583856354216,0.014480336119479962,0.0
help,0.026462798964588044,0.0172836526079907,0.01093910252690233,0.006671989351483174,0.01392381067174551,0.00099292557755648,0.0013717370528263091,0.055675435874570814,0.008548450296280768
chase,0.008884594389392831,0.0,0.004958122919594202,0.006720141649143077,0.003005207134762781,0.0,0.00207245548847923,0.0,0.0
shadows,0.019913517091829726,0.0,0.0,0.0025103688798199368,0.0,0.0016811691421456097,0.0023225527234624743,0.0,0.0
darkness,0.013961661895122835,0.0,0.0029681612614850528,0.001005746753264806,0.0,0.008082463513600627,0.0,0.0022215726130558194,0.0023194936652939503
break,0.011761243984261352,0.0326468993706491,0.014220833284973028,0.011861314402636755,0.019891158102493586,0.01191510693067776,0.038408637479136656,0.011462589738882227,0.00512907017776846
movie,0.005983569383624072,0.007816099477667437,0.0014840806307425264,0.005028733766324031,0.0026985835803576947,0.0013470772522667712,0.0,0.0,0.0
stars,0.006500207357610318,0.01698192636375052,0.016928312813958825,0.0016388785755597707,0.009894105349741647,0.0,0.006065055904236144,0.0036200840298699906,0.01322876719860109
rainbow,0.003240182735794255,0.0,0.0,0.0,0.0,0.0,0.003023271159115395,0.0,0.0
fortune,0.004442297194696416,0.0,0.0,0.0011200236081905126,0.0015026035673813905,0.0,0.0,0.00494799265492011,0.0025830435502221917
win,0.007192844867391158,0.0,0.005352037085178224,0.007254045110847752,0.009731896704494569,0.0,0.0016778313302632595,0.0020029132457820326,0.0041823927414503465
different,0.017875570233428374,0.01273644477281289,0.010882486808973533,0.004097196438899427,0.01429148550518238,0.004390162913670704,0.004548791928177108,0.0,0.0018898238855144414
livin,0.0019945231278746907,0.0,0.013356725676682737,0.010057467532648062,0.005397167160715389,0.016164927027201254,0.00744400515696726,0.0,0.0
tired,0.007192844867391158,0.0,0.001338009271294556,0.002720266916567907,0.003649461264185463,0.0,0.005033493990789778,0.012017479474692195,0.0041823927414503465
tv,0.003989046255749381,0.005210732985111624,0.0014840806307425264,0.001005746753264806,0.010794334321430779,0.0026941545045335424,0.0,0.0,0.0
open,0.008125259197012898,0.027595630341094596,0.016928312813958825,0.009013832165578738,0.02528493589378421,0.0032926221852530276,0.004548791928177108,0.0,0.003779647771028883
gaze,0.0019945231278746907,0.002605366492555812,0.0014840806307425264,0.0,0.0,0.0013470772522667712,0.005583003867725445,0.0,0.0023194936652939503
